metrica,valor
numero_interacoes,1132367
usuarios_unicos,226570
receitas_unicas_nas_interacoes,231637
total_receitas_arquivo,231637
media_avaliacoes,4.411016039852804
mediana_avaliacoes,5.0
esparsidade_aproximada_usuario_item,0.9999784237051572
data_inicio,2000-01-25
data_fim,2018-12-20
periodo_anos,19
