modelo,k,usuarios_avaliados,precision_at_k,recall_at_k,f1_at_k,ndcg_at_k,hitrate_at_k
popularidade,10,368,0.02690217391304348,0.22848731884057968,0.047059032453054185,0.12338287667152485,0.24728260869565216
conteudo_tfidf,10,368,0.01766304347826087,0.145606884057971,0.030762602433798084,0.07232184763999276,0.16576086956521738
colaborativo_svd,10,368,0.009510869565217392,0.08922101449275362,0.017092961386439648,0.03873783607230109,0.09510869565217392
hibrido,10,368,0.016304347826086956,0.14583333333333331,0.028885403545729636,0.0756382133134261,0.16304347826086957
